ID,Amount ($),Customers,Boxes,Geo_ID,Product_ID,Sales_Person_ID,Date_ID
1,8414.0,276,495,4,4,1,367
2,532.0,317,54,3,14,2,367
3,5376.0,178,269,2,8,12,367
4,259.0,32,22,4,15,1,367
5,5530.0,4,179,2,18,19,367
6,2184.0,63,122,1,13,17,367
7,1057.0,295,71,6,4,20,367
8,1036.0,370,37,5,16,14,367
9,4039.0,536,176,5,17,10,367
10,12894.0,115,478,4,1,6,367
11,4669.0,121,180,2,1,18,367
12,6377.0,184,246,4,16,4,367
13,4599.0,106,256,3,5,22,367
14,2751.0,228,251,2,9,22,367
15,15596.0,32,975,1,6,10,367
16,8561.0,111,330,1,11,6,367
17,14273.0,335,752,6,5,25,367
18,2506.0,99,148,4,13,2,367
19,2387.0,134,89,3,10,19,367
20,7553.0,67,280,2,7,9,367
21,3409.0,93,171,4,22,22,367
22,3878.0,24,216,2,22,15,367
23,3052.0,76,204,2,4,12,367
24,19229.0,64,1013,2,21,18,370
25,1988.0,179,95,6,21,15,370
26,147.0,9,11,6,9,12,370
27,2401.0,407,134,6,12,20,370
28,2814.0,296,94,2,17,11,370
29,5390.0,61,216,6,17,6,370
30,3920.0,16,262,3,2,23,370
31,7539.0,502,943,3,19,19,370
32,17248.0,163,664,1,16,23,371
33,1176.0,152,66,6,3,18,371
34,9730.0,361,573,5,13,17,371
35,2226.0,129,140,4,13,16,371
36,7063.0,250,643,6,12,18,371
37,7399.0,420,275,4,11,7,371
38,4284.0,230,306,2,9,4,371
39,4865.0,168,271,4,4,7,371
40,3780.0,111,315,4,19,6,371
41,3059.0,484,279,1,9,13,371
42,6622.0,57,276,6,11,11,371
43,644.0,116,34,1,20,4,372
44,4935.0,87,171,1,11,8,372
45,7182.0,29,378,6,22,13,372
46,539.0,10,77,5,9,9,372
47,637.0,79,91,6,19,20,372
48,1470.0,57,184,2,15,7,372
49,1442.0,108,61,2,13,10,372
50,9023.0,224,564,2,20,11,372
51,2709.0,27,101,6,1,3,372
52,5733.0,193,338,3,21,19,373
53,10451.0,155,1307,3,2,5,373
54,11228.0,236,388,1,18,18,373
55,3073.0,137,129,6,17,15,373
56,5467.0,109,288,5,13,9,373
57,4067.0,272,226,2,20,8,373
58,2814.0,69,149,1,5,2,374
59,2716.0,299,105,4,17,24,374
60,3570.0,61,325,5,9,22,374
61,9562.0,123,479,1,13,12,374
62,2373.0,2,104,4,22,17,374
63,2807.0,236,123,1,17,8,374
64,420.0,196,14,2,1,10,374
65,8239.0,157,515,2,4,6,374
66,6797.0,114,486,4,2,5,374
67,6048.0,56,319,4,13,22,374
68,364.0,14,21,5,4,5,374
